country,CasesMedian,CasesMin,CasesMax,DeathsMedian,DeathsMin,DeathsMax,DALYsMedian,DALYsMin,DALYsMax
Afghanistan,2297672.599,335569.4126,4300850.862,"9,427",358,"196,011",501759.9581,23024.1003,10092647.56
Angola,545943.9697,299876.3644,880478.8995,"2,271",106,"38,010",90303.96754,6192.116786,1498543.992
Armenia,2302.803414,203.2504759,4411.282432,10,0,199,558.2038549,20.28895516,10862.01331
Azerbaijan,19678.68968,1367.736822,40079.00675,82,2,"1,742",4289.484425,146.0010576,92827.89664
Bangladesh,14083057.95,9526405.864,18559072.05,"30,984",497,"1,721,317",1967249.685,89741.31683,101535812.9
Benin,1230161.595,249486.6575,2222043.725,"4,457",162,"80,681",231635.3272,11922.81202,4233546.067
Bhutan,20479.37921,8390.181418,32217.2174,93,4,"1,674",5378.208537,331.4645319,89105.02905
Bolivia,198987.3844,14475.7836,396861.5525,521,16,"10,869",27560.43171,1069.862067,564318.1668
Burkina Faso,974747.3916,796521.2645,1176920.433,"2,822",165,"44,653",138237.9737,10542.00874,2187681.899
Burundi,1267915.145,184347.0012,2369568.315,"4,650",173,"91,980",223382.0876,11038.13379,4147221.228
Cambodia,808104.447,572578.6787,1061498.396,"4,049",198,"63,065",230295.4544,14942.05272,3670081.569
Cameroon,557441.8632,453770.8935,673791.1358,"2,343",117,"37,143",109919.4183,7898.64331,1788935.423
Central African Republic,250036.1678,61805.98713,454549.418,912,33,"16,875",37704.06095,2119.300729,679234.682
Chad,863718.4244,379980.0938,1384742.629,"2,510",123,"41,786",107662.2598,6836.795715,1774071.892
Comoros,5824.899953,4657.157911,7287.959611,26,1,435,1332.830175,88.25400966,22258.81584
Congo Rep,106221.2666,33120.47204,194605.8167,408,17,"7,309",20624.63956,1159.667845,372275.8671
Cote dIvoire,915716.886,363962.3035,1463217.366,"3,035",173,"40,489",133565.7117,10399.82885,1808089.529
Cuba,17707.50872,1273.157145,35463.93882,46,1,897,2701.720939,90.61533963,53559.9362
Dem Republic of Congo,7054387.37,1189110.498,13968180.42,"26,147","1,030","509,280",1265781.477,65133.45493,24380350.64
Djibouti,8071.32932,6512.687419,9728.102016,37,2,556,1922.893689,126.9368877,30051.20143
DPR Korea,656511.215,51500.45036,1266607.636,"1,811",60,"34,797",102129.4532,4187.692459,1921656.984
Eritrea,184524.845,78791.26896,299032.4011,755,33,"12,665",40116.23886,2458.802071,708624.7856
Ethiopia,3822643.992,1418848.208,6393440.739,"40,028","2,315","741,296",2218499.742,142068.0522,41327269.39
Gambia,34626.87571,25080.32238,45607.17886,142,7,"2,660",7053.627098,486.3459812,128008.5166
Georgia,2498.136822,253.6497128,4756.489518,10,0,218,574.9807447,22.15277534,12044.9847
Ghana,614131.5061,530101.0777,717235.952,"2,730",133,"44,188",137387.9401,9263.025307,2232560.273
Guinea,547995.3239,231506.7027,889149.0952,"2,050",103,"36,713",100526.8005,6504.275188,1798387.789
Guinea Bissau,31886.73732,7022.094535,57230.85928,112,4,"1,943",4932.311902,260.0724631,86631.48991
Guyana,5745.947807,510.5571067,11215.078,16,0,308,810.8068409,24.25175766,15876.0948
Haiti,119087.074,12092.57017,245222.6704,310,10,"6,986",13902.46513,631.1296225,301607.1381
Honduras,55127.42705,7992.335215,106745.874,148,5,"2,970",8716.625377,398.8458939,180219.461
India,41361832.12,12870654.85,69610928.05,"396,131","68,557","1,962,783",22283224.13,3881469.985,112425491
Indonesia,5458420.674,2175990.984,8891456.496,"6,325","1,237","29,027",384584.0144,81032.47842,1702184.905
Kenya,1035144.081,890919.1347,1183335.333,"7,297",466,"102,561",365430.0522,28778.75774,5232456.87
Kiribati,4157.805529,1704.673949,6857.704016,17,1,304,993.5613203,60.35776582,17434.01607
Kyrgyz Republic,6312.828856,418.8739336,12760.02205,28,1,531,1509.053433,48.55076568,28067.14523
Lao PDR,417768.2638,246352.9477,592563.9063,520,23,"12,442",31605.95833,2734.05226,677398.9221
Lesotho,5583.888254,865.3093014,10500.20128,19,1,374,778.4040301,35.74697301,14732.78291
Liberia,390488.007,99154.19889,713372.2547,"1,502",56,"28,067",71081.47137,3552.051553,1380060.435
Madagascar,1907237.884,373690.5109,3405075.28,"7,320",250,"125,348",395355.3382,18620.03255,6720655.609
Malawi,250674.9918,170332.1777,335901.7863,969,51,"16,130",50631.89237,3578.415339,832312.8881
Mali,559149.346,351926.6734,796953.3756,"1,746",95,"30,545",84260.72342,6488.389801,1434685.109
Mauritania,86139.70768,72890.78929,100099.6915,275,16,"4,242",14509.03472,1028.99068,217542.9089
Moldova,1278.521369,75.62308806,2455.512598,5,0,113,288.847953,6.812379124,5828.753941
Mongolia,52632.30818,3271.134822,112222.105,219,5,"4,705",11533.78206,327.0412469,231006.2988
Mozambique,712322.4078,516807.1198,941790.0712,"2,880",142,"44,298",128071.6536,8847.185122,2025464.36
Myanmar,1406355.14,1111536.521,1694622.92,"6,201",304,"98,279",331507.7809,21381.11208,4886796.908
Nepal,847499.4714,364315.016,1346116.882,"3,822",166,"61,974",227780.6249,12886.37337,3726518.495
Nicaragua,46899.08352,4526.39258,95510.77944,123,4,"3,048",7266.984331,283.0881387,171277.9859
Niger,650938.1687,373868.3588,991010.624,"2,612",123,"42,868",136261.7385,8764.007987,2196292.568
Nigeria,8463084.483,4305365.141,13193322.15,"148,459","12,035","1,694,152",5821644.982,510531.3123,65868240.9
Pakistan,4205267.524,2521894.69,6020734.012,"7,928",872,"70,886",467422.9552,65713.37481,4078735.405
Papua New Guinea,1520073.782,359213.5411,1666666.984,"5,852",269,"104,966",323481.928,20039.77477,5789910.566
Republic of Sudan,661845.6441,240626.9826,1100638.555,"2,673",127,"44,214",146953.0618,9338.82146,2492646.823
Rwanda,286090.0527,137827.532,447991.7472,"1,200",58,"19,773",63822.80039,4272.021185,1088183.431
Sao Tome e Principe,1609.870943,712.7007086,2585.802992,6,0,106,322.9630829,21.65770385,5630.834553
Senegal,242338.9099,185126.5411,329415.2804,703,51,"9,638",37138.35666,3587.241098,510727.5824
Sierra Leone,402710.8695,153124.2919,654008.5882,"1,537",71,"28,525",63737.69922,4192.818511,1138011.068
Solomon Islands,49071.51158,11311.46365,87815.88619,191,7,"3,603",11442.70038,556.2563213,213553.8419
Somalia,430754.864,251863.5401,689049.8282,"1,892",93,"33,408",78974.46484,5651.69679,1346012.074
South Sudan,265360.5017,169847.0151,375652.4968,"1,152",59,"19,504",50722.36496,3609.411536,838819.9037
Sri Lanka,188467.4753,42094.58375,329200.2711,836,30,"14,342",51050.33098,2190.552141,865055.2367
Tajikistan,11589.45108,1085.716142,24947.33046,49,2,"1,143",2652.336503,105.2246577,59336.2013
Tanzania,1955387.543,777227.1661,3278555.777,"7,601",357,"112,754",421839.089,28264.42045,6259955.165
Timor Leste,42468.22244,33361.18907,53134.79623,190,9,"3,062",11595.16719,763.1238292,186642.0616
Togo,161450.2687,129289.5267,196212.1097,686,33,"11,957",33911.18374,2318.898553,589770.6608
Uganda,531534.0079,433704.6382,641468.0878,"2,409",127,"39,859",118205.2657,8178.114621,1859770.429
Ukraine,16460.37106,1295.092998,31349.94968,71,2,"1,342",3685.570636,118.7823223,70902.05823
Uzbekistan,29969.9618,2287.834171,62304.00296,123,3,"2,658",6248.088968,202.8003704,139547.229
Vietnam,1008080.823,602208.929,1436959.762,"18,456","2,144","143,778",1104222.454,132157.4143,8504117.503
Yemen,7338393.203,602377.4812,8860160.039,"17,605",441,"329,211",1001413.551,35098.15174,18540199.67
Zambia,431173.5646,245685.1373,665233.1583,"1,651",73,"26,329",81215.21509,5483.554103,1290008.772
Zimbabwe,233418.6835,15703.27213,485385.1749,"1,183",44,"19,731",54952.6682,2121.442012,888406.8509