country,CasesAvertedMedian,CasesAvertedMin,CasesAvertedMax,DeathsAvertedMedian,DeathsAvertedMin,DeathsAvertedMax,DALYsAvertedMedian,DALYsAvertedMin,DALYsAvertedMax
Afghanistan,50008.20904,7566.53576,151020.6155,228,7,"6,144",12550.36388,509.2363189,321721.115
Angola,70479.09204,0,604340.3911,208,0,"16,772",9294.472966,0,712910.2706
Armenia,433.2376871,28.26277229,1741.952975,2,0,54,122.5876456,3.663127615,3278.411367
Azerbaijan,4205.764135,224.0944685,18137.72681,18,0,547,1031.730233,32.15059736,29971.88763
Bangladesh,2786607.176,1358163.067,4457079.095,"6,073",111,"298,008",400736.4769,18376.75282,19103294.89
Benin,247543.5052,8386.528073,1079476.257,"1,128",15,"29,841",61723.31728,1132.920689,1558063.784
Bhutan,402.078133,115.4256274,1083.424786,2,0,41,119.3203618,7.287374836,2453.185736
Bolivia,3666.902904,97.67575781,26025.58691,17,0,546,1033.576022,10.77304598,30646.86113
Burkina Faso,16603.98119,695.0882417,84937.21179,75,1,"2,162",3831.530458,74.9526937,107188.3724
Burundi,510377.4058,74262.88491,1225576.974,"2,350",84,"50,649",116919.8203,5434.360093,2451369.032
Cambodia,332934.911,124197.9742,602650.08,"1,628",78,"34,300",96014.92644,6167.621387,1999930.067
Cameroon,72116.6051,0,514354.8337,204,0,"16,748",10872.60076,0,822995.9972
Central African Republic,49633.55683,2426.472829,212432.9896,233,4,"7,401",10002.93785,238.9111847,310542.0818
Chad,49435.25333,6930.653558,185680.059,245,8,"6,074",10756.43212,448.0098232,265811.6422
Comoros,2575.275906,1379.463525,4257.150965,13,1,248,697.5576329,49.79432694,13043.916
Congo Rep,23995.88503,1241.555697,103459.5327,110,2,"2,841",5827.507022,149.8322236,142258.8396
Cote dIvoire,79301.75814,0,1005009.993,209,0,"22,754",11020.04025,0,1011757.922
Cuba,275.5496885,10.41981329,2222.974983,1,0,55,79.14173469,1.377042061,3561.982644
Dem Republic of Congo,1692346.705,281112.6069,3868935.377,"7,247",270,"198,044",361407.0482,17843.27715,9422569.415
Djibouti,3086.46276,1421.393885,4947.470665,16,1,290,861.6424778,61.06028901,16049.92349
DPR Korea,8885.065772,297.0133496,69452.50809,43,0,"1,563",2575.647916,30.06873017,93858.61259
Eritrea,77347.86363,27158.58886,160221.4932,381,19,"7,656",20525.16291,1304.868763,423088.9381
Ethiopia,1352328.437,430605.6937,2945760.453,"17,908",841,"279,423",1029741.998,54247.23504,16220480.75
Gambia,5577.417551,0,35506.16972,14,0,"1,210",750.8452242,0,60952.82732
Georgia,482.0921703,30.69651289,1847.010325,2,0,67,125.0395617,3.187543432,3767.40711
Ghana,296744.7455,173682.2804,433901.1815,"1,500",86,"29,015",77762.88575,5586.736443,1436212.978
Guinea,122842.1582,6444.319917,451550.2492,531,11,"14,791",27180.39464,745.3976287,729267.3986
Guinea Bissau,6883.080402,357.7677303,28227.36494,31,1,880,1421.980928,37.15493496,39070.23714
Guyana,96.94758319,2.752486473,743.7427961,0,0,16,25.32667806,0.437690252,878.3022991
Haiti,2013.798717,71.35679583,15679.78943,9,0,323,418.9342373,6.772964363,15320.2238
Honduras,1030.743904,44.14570408,7251.851843,5,0,189,321.1648982,5.317032494,11886.90535
India,530128.2241,118601.6434,1568050.22,"5,478",761,"33,955",320338.9363,44301.52308,1996641.632
Indonesia,40230.21265,1522.441462,283363.1269,87,2,"1,114",5397.806258,163.4086571,68531.8522
Kenya,573163.8199,356678.3262,776269.734,"4,614",278,"62,792",234592.7474,16823.15146,3331933.958
Kiribati,783.6733523,9.107715214,3581.379561,3,0,120,196.24084,1.284328551,6587.560982
Kyrgyz Republic,1402.400316,64.18324519,5809.408449,7,0,153,382.6242518,9.566122692,8795.774073
Lao PDR,79674.82867,585.6620021,310380.9208,98,0,"3,643",6278.113731,29.78338864,208882.7137
Lesotho,1298.705286,163.0879948,4747.752196,6,0,159,254.9227381,9.129395194,6484.078898
Liberia,37743.36911,0,500223.1614,99,0,"14,444",5366.217128,0,697126.7577
Madagascar,724371.721,134998.9825,1674530.425,"3,351",122,"81,754",183270.1999,8224.620437,4469366.985
Malawi,70471.63758,14033.04279,177411.6953,341,14,"8,477",18220.06058,1011.341189,447907.7509
Mali,34660.71769,5935.918122,115135.4224,173,6,"4,204",8515.632778,374.3514107,201384.4436
Mauritania,5357.571027,1102.584887,17578.42117,27,1,580,1479.615423,70.21950557,30045.43934
Moldova,244.682061,11.60094804,1023.786927,1,0,31,65.43922399,1.200544224,1838.857155
Mongolia,11189.85245,438.4204768,50596.65563,49,1,"1,524",2778.372177,50.74560667,80626.19984
Mozambique,208767.3262,37807.7677,494944.1895,989,41,"20,608",45716.82419,2398.505091,929483.3811
Myanmar,260926.7292,2686.808886,887456.6332,"1,053",5,"31,876",59793.30132,437.2681309,1701780.622
Nepal,6593.827421,1636.513397,20310.86134,32,1,837,1986.314177,108.0786277,50600.33279
Nicaragua,869.0343402,29.48646297,6171.224338,4,0,186,239.0305264,4.039038934,10997.7145
Niger,155126.8645,7444.459339,548852.1413,699,12,"18,805",37882.30585,743.1516697,991300.0384
Nigeria,5244433.273,2342102.302,9287828.853,"92,184","6,815","1,013,555",3776900.925,306991.993,41598221.31
Pakistan,1167238.387,566102.3868,2078398.231,"2,476",221,"22,966",151292.5852,18445.27933,1301712.265
Papua New Guinea,212309.6578,1920.470399,893420.9301,866,5,"27,850",50047.07279,357.6867734,1557813.412
Republic of Sudan,265239.7167,84311.42003,570541.1506,"1,240",57,"25,088",70730.49554,4415.115485,1397040.028
Rwanda,118336.3699,46274.09114,250784.4156,604,30,"12,054",32772.64931,2165.256437,661935.8098
Sao Tome e Principe,382.8974632,18.81489692,1377.684585,2,0,49,96.69842298,2.159484912,2747.786379
Senegal,23176.77176,0,245268.8546,66,0,"4,414",3910.761226,0,232351.8205
Sierra Leone,43804.63701,0,489526.7478,136,0,"13,480",6185.917726,0,573534.0123
Solomon Islands,8792.635393,97.64205915,49993.88808,37,0,"1,312",2250.058204,20.45162332,79888.75781
Somalia,162993.8747,71599.75139,328140.3348,818,44,"16,037",35166.22701,2604.311019,672163.6945
South Sudan,97729.05931,44238.41481,179959.3784,513,24,"9,331",23331.71875,1547.750983,422485.6151
Sri Lanka,3892.718702,732.3575719,11555.53178,19,1,431,1175.508693,49.98092302,26246.19355
Tajikistan,7419.429175,705.396382,18142.96484,33,1,808,1873.249925,70.00118464,44627.48969
Tanzania,594601.1173,198486.3735,1267113.301,"2,889",148,"58,507",161827.3077,11610.72201,3238593.51
Timor Leste,9114.221247,81.98695889,33278.73748,38,0,"1,263",2393.331399,12.1588831,76607.02526
Togo,20498.98978,0,153031.3258,62,0,"6,171",3477.46636,0,307284.5243
Uganda,233138.9357,121430.1607,366810.4813,"1,194",61,"21,302",61189.48977,4183.898939,1023219.533
Ukraine,3177.175351,182.5334695,12921.85035,15,0,393,825.4133887,19.39916361,22203.91538
Uzbekistan,2470.995589,188.2579133,6877.514054,11,0,237,604.1286673,19.98853911,12872.60155
Vietnam,182482.8198,2397.104481,726044.7786,"3,298",37,"51,084",208176.3492,2310.307692,3232418.709
Yemen,268847.1342,18002.85577,1043572.521,"1,255",25,"34,345",75065.07206,2014.886928,1998547.472
Zambia,120167.6421,20794.86118,337072.7291,583,21,"12,767",29452.3297,1350.891228,625720.634
Zimbabwe,59511.82093,3612.966185,229793.6426,434,11,"8,022",20672.30295,601.3542904,374828.5562