Country,ISO3,Region
Afghanistan,AFG,South Asia
Angola,AGO,Western Sub-Saharan Africa
Armenia,ARM,Central Asia
Azerbaijan,AZE,Central Asia
Bangladesh,BGD,South Asia
Benin,BEN,Western & Central Sub-Saharan Africa
Bhutan,BTN,South Asia
Bolivia,BOL,Latin America
Burkina Faso,BFA,Western & Central Sub-Saharan Africa
Burundi,BDI,Eastern Sub-Saharan Africa
Cambodia,KHM,Southeast Asia
Cameroon,CMR,Western Sub-Saharan Africa
Central African Republic,CAF,Western & Central Sub-Saharan Africa
Chad,TCD,North Africa & Middle East
Comoros,COM,Eastern Sub-Saharan Africa
Congo Rep,COG,Western & Central Sub-Saharan Africa
Cote dIvoire,CIV,Western Sub-Saharan Africa
Cuba,CUB,Latin America
Dem Republic of Congo,COD,Western & Central Sub-Saharan Africa
Djibouti,DJI,Eastern Sub-Saharan Africa
DPR Korea,PRK,East Asia
Eritrea,ERI,Eastern Sub-Saharan Africa
Ethiopia,ETH,Eastern Sub-Saharan Africa
Gambia,GMB,Western Sub-Saharan Africa
Georgia,GEO,Central Asia
Ghana,GHA,Western Sub-Saharan Africa
Guinea,GIN,Western & Central Sub-Saharan Africa
Guinea Bissau,GNB,Western & Central Sub-Saharan Africa
Guyana,GUY,Latin America
Haiti,HTI,Latin America
Honduras,HND,Latin America
India,IND,South Asia
Indonesia,IDN,Southeast Asia
Kenya,KEN,Eastern Sub-Saharan Africa
Kiribati,KIR,Southeast Asia
Kyrgyz Republic,KGZ,Central Asia
Lao PDR,LAO,Southeast Asia
Lesotho,LSO,Southern Africa
Liberia,LBR,Western Sub-Saharan Africa
Madagascar,MDG,Eastern Sub-Saharan Africa
Malawi,MWI,Southern Africa
Mali,MLI,North Africa & Middle East
Mauritania,MRT,North Africa & Middle East
Moldova,MDA,Central Asia
Mongolia,MNG,Central Asia
Mozambique,MOZ,Southern Africa
Myanmar,MMR,Southeast Asia
Nepal,NPL,South Asia
Nicaragua,NIC,Latin America
Niger,NER,Western & Central Sub-Saharan Africa
Nigeria,NGA,Western & Central Sub-Saharan Africa
Pakistan,PAK,South Asia
Papua New Guinea,PNG,Southeast Asia
Republic of Sudan,SDN,Eastern Sub-Saharan Africa
Rwanda,RWA,Eastern Sub-Saharan Africa
Sao Tome e Principe,STP,Western & Central Sub-Saharan Africa
Senegal,SEN,Western Sub-Saharan Africa
Sierra Leone,SLE,Western Sub-Saharan Africa
Solomon Islands,SLB,Southeast Asia
Somalia,SOM,Eastern Sub-Saharan Africa
South Sudan,SSD,Eastern Sub-Saharan Africa
Sri Lanka,LKA,South Asia
Tajikistan,TJK,Central Asia
Tanzania,TZA,Eastern Sub-Saharan Africa
Timor Leste,TLS,Southeast Asia
Togo,TGO,Western Sub-Saharan Africa
Uganda,UGA,Eastern Sub-Saharan Africa
Ukraine,UKR,Central Asia
Uzbekistan,UZB,Central Asia
Vietnam,VNM,Southeast Asia
Yemen,YEM,North Africa & Middle East
Zambia,ZMB,Southern Africa
Zimbabwe,ZWE,Southern Africa